8:37:24 PM  [main] 	Initializing Control Panel
8:37:24 PM  [main] 	Windows Version:  Enterprise  64-bit
8:37:24 PM  [main] 	XAMPP Version: 7.3.4
8:37:24 PM  [main] 	Control Panel Version: 3.2.3  [ Compiled: Mar 7th 2019 ]
8:37:24 PM  [main] 	You are not running with administrator rights! This will work for
8:37:24 PM  [main] 	most application stuff but whenever you do something with services
8:37:24 PM  [main] 	there will be a security dialogue or things will break! So think 
8:37:24 PM  [main] 	about running this application with administrator rights!
8:37:24 PM  [main] 	XAMPP Installation Directory: "e:\xamp\"
8:37:24 PM  [main] 	Checking for prerequisites
8:37:26 PM  [main] 	All prerequisites found
8:37:26 PM  [main] 	Initializing Modules
8:37:26 PM  [main] 	Starting Check-Timer
8:37:26 PM  [main] 	Control Panel Ready
8:37:32 PM  [Apache] 	Attempting to start Apache app...
8:37:33 PM  [Apache] 	Status change detected: running
8:37:39 PM  [mysql] 	Attempting to start MySQL app...
8:37:40 PM  [mysql] 	Status change detected: running
8:52:16 PM  [Apache] 	Status change detected: stopped
8:52:16 PM  [Apache] 	Error: Apache shutdown unexpectedly.
8:52:16 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
8:52:16 PM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
8:52:16 PM  [Apache] 	Press the Logs button to view error logs and check
8:52:16 PM  [Apache] 	the Windows Event Viewer for more clues
8:52:16 PM  [Apache] 	If you need more help, copy and post this
8:52:16 PM  [Apache] 	entire log window on the forums
11:56:34 PM  [mysql] 	Attempting to stop MySQL app...
11:56:35 PM  [mysql] 	Status change detected: stopped
11:56:51 PM  [main] 	Deinitializing Modules
11:56:51 PM  [main] 	Deinitializing Control Panel

